panel	variant	true_len_bin	true_segments_bin	missed_true_rate_bin	split_true_rate_bin	mean_fragments_per_true_bin
human_test	hmm_p2_rescue_t0.60_max150	lt80	56	0.625	0.0	0.375
human_test	hmm_p2_rescue_t0.60_max150	80_300	129	0.24806201550387597	0.03875968992248062	0.7906976744186046
human_test	hmm_p2_rescue_t0.60_max150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2_rescue_t0.60_max150	ge1000	5	0.0	0.4	10.0
human_test	hmm_p2_rescue_t0.60_max300	lt80	56	0.625	0.0	0.375
human_test	hmm_p2_rescue_t0.60_max300	80_300	129	0.24806201550387597	0.03875968992248062	0.7906976744186046
human_test	hmm_p2_rescue_t0.60_max300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2_rescue_t0.60_max300	ge1000	5	0.0	0.4	10.0
human_test	hmm_p2_rescue_t0.70_max80	lt80	56	0.625	0.0	0.375
human_test	hmm_p2_rescue_t0.70_max80	80_300	129	0.2558139534883721	0.015503875968992248	0.7596899224806202
human_test	hmm_p2_rescue_t0.70_max80	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2_rescue_t0.70_max80	ge1000	5	0.0	0.4	6.2
human_test	hmm_p2_rescue_t0.70_max150	lt80	56	0.625	0.0	0.375
human_test	hmm_p2_rescue_t0.70_max150	80_300	129	0.2558139534883721	0.015503875968992248	0.7596899224806202
human_test	hmm_p2_rescue_t0.70_max150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2_rescue_t0.70_max150	ge1000	5	0.0	0.4	6.2
human_test	hmm_p2_rescue_t0.70_max300	lt80	56	0.625	0.0	0.375
human_test	hmm_p2_rescue_t0.70_max300	80_300	129	0.2558139534883721	0.015503875968992248	0.7596899224806202
human_test	hmm_p2_rescue_t0.70_max300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2_rescue_t0.70_max300	ge1000	5	0.0	0.4	6.2
human_test	lenadaptive_raw0.20_hmm2_cut80	lt80	56	0.6071428571428571	0.10714285714285714	0.625
human_test	lenadaptive_raw0.20_hmm2_cut80	80_300	129	0.2248062015503876	0.14728682170542637	1.1007751937984496
