feature_set	split	species	species_group	chosen_anchor	true_best_anchor	chosen_actual_te_f1	true_best_te_f1	anchor_top1_hit	anchor_top2_hit	regret	predicted_score	predicted_uncertainty_sd	risk_bin
baseline_plus_kmer	leave_species_out	zebrafish	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5214699959942013	0.8151318178516959	0	0	0.29366182185749456	0.3041022408920138	0.20715516161026398	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	brachypodium	plant	cross	cross	0.8175422271365038	0.8175422271365038	1	1	0.0	0.8635966298036666	0.1264758440626319	high_ge0.80
baseline_plus_kmer	leave_clade_out	c_elegans	other	cross	animal	0.8952111633807284	0.9053972034713066	0	1	0.010186040090578219	0.6831777850381159	0.2125605793130526	medium_0.60_0.80
baseline_plus_kmer	leave_clade_out	cattle	vertebrate	insect	animal	0.2681289424464008	0.9216935615407684	0	0	0.6535646190943676	0.2578196091373287	0.3208601003430282	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	chicken	vertebrate	human_h0_ntv2_250m	human_h0_ntv2_500m	0.843436719033926	0.8516226680157541	0	1	0.008185948981828117	0.7446249391812991	0.14046760235859204	medium_0.60_0.80
baseline_plus_kmer	leave_clade_out	fruit_fly	insect	cross	insect	0.942393180917196	0.944818571090276	0	0	0.0024253901730799665	0.8566408287968765	0.08924089623802794	high_ge0.80
baseline_plus_kmer	leave_clade_out	horse	vertebrate	insect	cross	0.1869044858967403	0.8925601404845789	0	0	0.7056556545878385	0.2578196091373287	0.3208601003430282	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	human	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.961411324419745	0.961411324419745	1	1	0.0	0.8625300410775849	0.057287104180775095	high_ge0.80
baseline_plus_kmer	leave_clade_out	lizard	vertebrate	cross	animal	0.2400380045378313	0.2416400416987031	0	0	0.0016020371608717887	0.7499615359761976	0.15691492591752684	medium_0.60_0.80
baseline_plus_kmer	leave_clade_out	maize	plant	cross	cross	0.9629892479990332	0.9629892479990332	1	1	0.0	0.8573858729709952	0.13152327422297846	high_ge0.80
baseline_plus_kmer	leave_clade_out	mouse	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.7771925460040144	0.937559801228433	0	0	0.16036725522441853	0.314930432082432	0.16505280290752666	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	opossum	vertebrate	cross	animal	0.8799647530707007	0.8811419601553324	0	1	0.0011772070846317595	0.4064159114015239	0.3661437004711911	low_0.40_0.60
baseline_plus_kmer	leave_clade_out	pig	vertebrate	insect	animal	0.1493562637371058	0.8761131743803473	0	0	0.7267569106432414	0.2578196091373287	0.3208601003430282	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	red_flour_beetle	insect	cross	insect	0.0030871384254842	0.0059299524368398	0	0	0.0028428140113556	0.6946615882355177	0.23360415505365562	medium_0.60_0.80
baseline_plus_kmer	leave_clade_out	rice	plant	cross	cross	0.8757886614942711	0.8757886614942711	1	1	0.0	0.8630965638590276	0.12561187088715828	high_ge0.80
baseline_plus_kmer	leave_clade_out	sorghum	plant	cross	cross	0.9154621597006132	0.9154621597006132	1	1	0.0	0.8630965638590276	0.12561187088715828	high_ge0.80
baseline_plus_kmer	leave_clade_out	soybean	plant	cross	animal	0.4136761357660033	0.5650860204945004	0	0	0.1514098847284971	0.24506843818068733	0.24394989814470475	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	teosinte	plant	cross	plant	0.9299634062638152	0.9308197551982428	0	0	0.0008563489344275421	0.17989038490890788	0.2823309209036048	very_low_lt0.40
